Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL
noc25-ae15,Aerospace Engineering,Introduction to Launch Vehicle Analysis and Design,Prof. Ashok Joshi,IIT Bombay,IIT Bombay,8 Weeks,Rerun,17 02 2025,11 04 2025,27 04 2025,17 02 2025,24 02 2025,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae15/preview,noc25_ae15,https://onlinecourses.nptel.ac.in/noc22_ae06/preview,https://onlinecourses.nptel.ac.in/noc22_ae06/preview,noc22_ae06,
noc25-ae16,Aerospace Engineering,Engineering Thermodynamics,Prof. D.P. Mishra,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,20 01 2025,11 04 2025,3 05 2025,27 01 2025,14 02 2025,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc25_ae16/preview,noc25_ae16,https://onlinecourses.nptel.ac.in/noc22_ae17/preview,https://onlinecourses.nptel.ac.in/noc22_ae17/preview,noc22_ae17,
noc25-ag03,Agricultural and Food Engineering,Design of Farm Machinery,Prof. Hifjur Raheman,IIT Kharagpur,IIT Kharagpur,12 weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Product Design,https://onlinecourses.nptel.ac.in/noc25_ag03/preview,noc25_ag03,,,,
noc25-ag04,Agricultural and Food Engineering,Food Science and Technology,Prof. Hari Niwas Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag04/preview,noc25_ag04,,,,
noc25-ag05,Agricultural and Food Engineering,Impact of Flow of Fluids in Food Processing and Preservation,"Prof. Kanishka Bhunia
Prof. Tridib Kumar Goswami",IIT Kharagpur,IIT Kharagpur,12 Weeks,New,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag05/preview,noc25_ag05,,,,
noc25-ag07,Agricultural and Food Engineering,Modern Food Packaging Technologies: Regulatory Aspects and Global Trends,Prof. Prem Prakash Srivastav,IIT Kharagpur,IIT Kharagpur,12 weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag07/preview,noc25_ag07,https://onlinecourses.nptel.ac.in/noc24_ag07/preview,https://onlinecourses.nptel.ac.in/noc24_ag07/preview,noc24_ag07,
noc25-ag01,Agriculture Engineering,Basics of Crop Breeding and Plant Biotechnology,Prof. Joydeep Banerjee,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,3 05 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Bioprocesses,https://onlinecourses.nptel.ac.in/noc25_ag01/preview,noc25_ag01,https://onlinecourses.nptel.ac.in/noc24_ag08/preview,https://onlinecourses.nptel.ac.in/noc24_ag08/preview,noc24_ag08,
noc25-ag02,Agriculture Engineering,Cooling Technology: Why and How utilized in Food Processing and allied Industries,Prof. Tridib Kumar Goswami,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag02/preview,noc25_ag02,https://onlinecourses.nptel.ac.in/noc24_ag01/preview,https://onlinecourses.nptel.ac.in/noc24_ag01/preview,noc24_ag01,
noc25-ag06,Agriculture Engineering,Machine Learning for Soil and Crop Management,Prof. Somsubhra Chakraborty,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG,Elective,Yes,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag06/preview,noc25_ag06,https://onlinecourses.nptel.ac.in/noc24_ag02/preview,https://onlinecourses.nptel.ac.in/noc24_ag02/preview,noc24_ag02,
noc25-ag08,Agriculture Engineering,Novel Technologies for Food Processing and Shelf Life Extension,Prof. Hari Niwas Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag08/preview,noc25_ag08,https://onlinecourses.nptel.ac.in/noc24_ag03/preview,https://onlinecourses.nptel.ac.in/noc24_ag03/preview,noc24_ag03,
